PU,PVDF-co-HFP,Crosslinker,Ionic Conductivity
1.8125758,2.6849194,1.0209928,0.5829089
3.4965613,3.78912,4.43555,0.13145524
4.3845983,1.3961871,2.9482393,0.44015142
2.8024797,4.0008793,3.595217,0.34104925
2.112462,1.9597073,4.6564636,0.27089122
4.702394,4.5663185,1.7610176,0.4478747
3.682552,2.2483673,3.3747244,0.20551148
1.0063767,3.354494,2.207796,0.5801581
1.3373191,1.2042532,3.0398996,0.48418593
3.9736457,4.316846,2.3785582,0.29916292
4.8912888,2.9939508,4.9915586,0.53885746
2.2937188,3.606059,1.5899844,0.173358
2.6038241,2.4323795,2.653883,0.16362518
4.2092037,3.0464675,3.8036356,0.62419266
3.1597562,1.6427314,1.3145287,0.312794
1.5312436,4.757312,4.227951,0.4038232
1.7292631,1.5797412,2.3659687,0.22035
3.0846353,4.942334,3.2165499,0.56061965
4.034196,2.368462,1.6652864,0.25162333
2.6556907,3.2305706,4.7521935,0.4629797
2.4628644,2.806891,3.9409502,0.42504412
4.849183,3.670979,2.6025074,0.3603189
3.7658648,1.0182196,4.0273747,0.6024451
1.4183028,4.3827996,1.4291683,0.11661849
1.2380147,2.060408,4.3236275,0.3279014
3.5779545,3.4146085,1.2188536,0.3845535
4.557121,1.770699,3.6454039,0.14408906
2.1309376,4.6253915,2.8121166,0.6390293
2.937992,1.3342193,1.9982151,0.5240189
4.371985,4.19083,4.583328,0.19289654
3.2590606,2.6238558,2.032884,0.50345373
1.9269347,3.9799826,3.3855727,0.28405795
1.9999237,1.475437,4.902422,0.10337463
3.3159277,4.1128407,1.5541216,0.61552113
4.302903,2.7013605,3.0659952,0.37288934
2.8850303,3.839256,2.4774628,0.41237298
2.2000165,2.1379356,1.2903923,0.47568646
4.610078,3.2738438,4.127088,0.23908442
3.5049703,1.9119549,2.7410767,0.5475121
1.1811504,4.5473785,3.8414423,0.23355824
1.475167,2.885394,2.907898,0.27944082
3.838849,3.53119,3.5105581,0.50797015
4.796226,1.1584978,1.1232313,0.1968401
2.3937855,4.303809,4.458311,0.5199075
2.7086525,1.7199814,3.2704809,0.6431093
4.103277,4.863366,2.1870391,0.14010975
3.0277681,2.4469423,4.6987023,0.3800728
1.6562741,3.0908196,1.8437781,0.33254993
1.5832365,2.259906,3.7496793,0.56691426
3.2278538,3.1557019,2.832841,0.21858749
