Reaction Time,PU,PVDF-co-HFP,Crosslinker,Ionic Conductivity,Transference Number
10,4.81,2.46,3.29,0.39,0.5
10,3.78,2.63,1.56,0.55,0.52
10,2.04,3.54,3.77,0.53,0.33
10,1.31,1.03,2.7,0.61,0.58
10,4.31,1.82,4.99,0.39,0.51
10,1.08,2.7,3.01,0.44,0.55
10,1.93,1.93,1.64,0.47,0.54
10,1.72,4.85,4.38,0.45,0.61
10,3.91,1.66,2.01,0.3,0.53
10,1.72,4.32,1.79,0.65,0.55
10,2.07,2.39,1.77,0.54,0.47
10,2.95,4.84,1.41,0.62,0.34
10,3.87,3.77,2.15,0.38,0.22
10,4.51,2.14,1.14,0.58,0.31
10,2.21,2.02,4.23,0.21,0.25
10,2.64,2.05,3.5,0.55,0.39
10,2.23,2.55,1.56,0.34,0.36
10,4.3,3.11,3.65,0.21,0.39
10,4.26,3.58,2.06,0.32,0.5
10,4.78,1.09,1.23,0.62,0.28
10,2.97,1.49,4.31,0.22,0.57
10,2.01,4.38,4.12,0.61,0.5
10,1.85,3.55,1.53,0.35,0.22
10,3.57,3.59,4.3,0.57,0.59
10,2.36,4.98,4.96,0.2,0.21
10,4.35,2.49,4.06,0.32,0.37
10,3.6,4.5,3.59,0.62,0.22
10,1.14,1.48,2.05,0.4,0.39
10,2.78,2.71,1.26,0.2,0.41
10,3.76,3.5,1.05,0.25,0.29
10,2.99,4.37,4.8,0.47,0.27
10,2.25,3.13,4.72,0.45,0.55
10,3.65,3.25,3.19,0.5,0.3
10,1.13,4.82,3.15,0.24,0.2
10,2.09,3.28,1.28,0.3,0.23
10,3.85,2.44,3.05,0.26,0.41
10,3.25,2.94,1.89,0.63,0.34
10,2.58,2.63,4.01,0.49,0.23
10,4.72,4.81,4.67,0.31,0.44
10,3.55,1.1,4.24,0.45,0.55
10,1.43,2.28,2.08,0.46,0.49
10,4.94,1.21,3.93,0.54,0.56
10,3.04,1.86,1.98,0.57,0.3
10,2.42,3.2,1.98,0.22,0.31
10,1.17,2.57,1.84,0.45,0.28
10,4.71,2.56,2.37,0.51,0.57
10,4.37,3.84,1.16,0.47,0.56
10,1.92,4.27,4.54,0.31,0.31
10,2.47,2.86,3.97,0.21,0.46
10,4.24,2.76,2.2,0.43,0.35
10,1.59,3.33,2.27,0.34,0.56
10,4.82,2.19,4.39,0.24,0.55
10,3.84,4.18,2,0.47,0.6
10,4.09,2.17,2.41,0.23,0.45
10,4.89,4.33,4.28,0.44,0.2
10,2.76,1.84,3.2,0.29,0.31
10,1.32,3.76,1.92,0.27,0.43
10,4.12,3.06,2.89,0.46,0.22
10,3.66,3.72,2.61,0.59,0.31
10,3.81,1.75,4,0.46,0.2
10,2.49,3.98,3.48,0.45,0.21
10,2.01,2.66,3.28,0.28,0.64
10,4.4,3.96,3.94,0.41,0.27
10,3.62,1.83,2.75,0.23,0.44
10,4.59,3.26,2.53,0.4,0.43
10,2.34,1.34,1.87,0.6,0.44
10,2.11,2.93,4.43,0.43,0.42
10,3.9,3.9,4.95,0.51,0.51
10,1.57,2.46,2.78,0.59,0.24
10,4.67,2.79,1.46,0.36,0.49
10,2.6,4.88,2.94,0.28,0.25
10,4.61,1.01,4.48,0.33,0.59
10,4.22,3.41,3.11,0.28,0.57
10,4.7,1.92,4.18,0.53,0.22
10,1.59,3.86,3.93,0.2,0.6
10,2.06,4.91,1.7,0.49,0.39
10,2.75,4.53,3.06,0.46,0.47
10,2.97,1.96,1.9,0.32,0.6
10,2.92,3.94,4.25,0.24,0.62
10,2.8,4.95,3.69,0.55,0.63
10,3.33,4.92,4.23,0.55,0.37
10,1.01,1.11,3.95,0.34,0.33
10,2.1,1.56,2.12,0.59,0.37
10,2.64,1.41,1.06,0.45,0.33
10,1.14,2.1,4.49,0.65,0.33
10,1.54,3.6,4.78,0.6,0.39
10,4.44,2.57,4.36,0.52,0.46
10,2.48,4.61,1.04,0.56,0.58
10,4.13,4.31,2.26,0.59,0.31
10,3.05,2.74,3.54,0.48,0.49
10,4.83,3.61,1.29,0.4,0.36
10,3.72,3.48,4.1,0.37,0.2
10,3.07,4.2,3.98,0.56,0.43
10,1.75,3.2,3.73,0.4,0.23
10,2.27,3.86,1.67,0.44,0.49
10,1.89,4.8,1.13,0.23,0.3
10,3.24,1.46,2.53,0.5,0.59
10,4.09,4.9,1.25,0.38,0.59
10,3.44,1.16,4.93,0.58,0.22
10,1.1,4.95,1.95,0.37,0.47
